"Year","Category","Value","Growth Rate"
2010,"Nominal GDP",1980778000000,0
2010,"Real GDP",2768662000000,0
2010,"Seasonally adjusted real GDP",2768661000000,0
2011,"Nominal GDP",2552478000000,28.862396492691246
2011,"Real GDP",3094224000000,11.758820686671045
2011,"Seasonally adjusted real GDP",3094225000000,11.758897170870686
2012,"Nominal GDP",2819705000000,10.469316483824741
2012,"Real GDP",3272500000000,5.761573822709676
2012,"Seasonally adjusted real GDP",3272499000000,5.761507324128012
2013,"Nominal GDP",2886584000000,2.3718438630991434
2013,"Real GDP",3368896000000,2.9456378915202475
2013,"Seasonally adjusted real GDP",3368897000000,2.9456999070129664
2014,"Nominal GDP",2951824000000,2.260110913106983
2014,"Real GDP",3504483000000,4.024671583806683
2014,"Seasonally adjusted real GDP",3504483000000,4.024640705845273
2015,"Nominal GDP",2600304000000,-11.908569074578967
2015,"Real GDP",3667621000000,4.6551231665269865
2015,"Seasonally adjusted real GDP",3667622000000,4.655151701406446
2016,"Nominal GDP",2584798000000,-0.596314892412575
2016,"Real GDP",3730119000000,1.7040473920287846
2016,"Seasonally adjusted real GDP",3730119000000,1.7040196617863046
2017,"Nominal GDP",2779748000000,7.542175442723176
2017,"Real GDP",3774213000000,1.182107058782833
2017,"Seasonally adjusted real GDP",3774212000000,1.1820802499866723
2018,"Nominal GDP",3324618000000,19.601417106874443
2018,"Real GDP",3896005000000,3.226950890159097
2018,"Seasonally adjusted real GDP",3896005000000,3.226978240755951
2019,"Nominal GDP",3333338000000,0.26228577238045503
2019,"Real GDP",3960351000000,1.6515892561739465
2019,"Seasonally adjusted real GDP",3960350000000,1.6515635888557645
2020,"Nominal GDP",2879817000000,-13.605610952144664
2020,"Real GDP",3809668000000,-3.8047890199631285
2020,"Seasonally adjusted real GDP",3809668000000,-3.8047647303899867
2021,"Nominal GDP",3684979000000,27.958790437031244
2021,"Real GDP",4058043000000,6.5195969832541945
2021,"Seasonally adjusted real GDP",4058043000000,6.5195969832541945
2022,"Nominal GDP",4646532000000,26.093852909338146
2022,"Real GDP",4545032000000,12.000587475292889
2022,"Seasonally adjusted real GDP",4545032000000,12.000587475292889
2023,"Nominal GDP",4569693000000,-1.6536849418017585
2023,"Real GDP",4569693000000,0.5425924393931636
2023,"Seasonally adjusted real GDP",4569693000000,0.5425924393931636
2024,"Nominal GDP",4703028000000,2.9178108901407596
2024,"Real GDP",4690741000000,2.6489306830896453
2024,"Seasonally adjusted real GDP",4690740000000,2.648908799781524
2025,"Nominal GDP",4788536000000,1.8181477975466098
2025,"Real GDP",4901940000000,4.502465601916628
2025,"Seasonally adjusted real GDP",4901940000000,4.502487880377082