"Quarter","Sex","Participation Rate"
"2016-Q2","Male","63.2%"
"2016-Q2","Female","17.7%"
"2016-Q2","Total","40.2%"
"2016-Q3","Male","64.6%"
"2016-Q3","Female","19.0%"
"2016-Q3","Total","42.0%"
"2016-Q4","Male","64.6%"
"2016-Q4","Female","19.3%"
"2016-Q4","Total","42.2%"
"2017-Q1","Male","61.9%"
"2017-Q1","Female","17.4%"
"2017-Q1","Total","40.3%"
"2017-Q2","Male","62.1%"
"2017-Q2","Female","17.4%"
"2017-Q2","Total","40.3%"
"2017-Q3","Male","62.6%"
"2017-Q3","Female","17.8%"
"2017-Q3","Total","40.7%"
"2017-Q4","Male","63.4%"
"2017-Q4","Female","19.4%"
"2017-Q4","Total","41.9%"
"2018-Q1","Male","63.5%"
"2018-Q1","Female","19.5%"
"2018-Q1","Total","41.9%"
"2018-Q2","Male","63.5%"
"2018-Q2","Female","19.6%"
"2018-Q2","Total","42.0%"
"2018-Q3","Male","63.5%"
"2018-Q3","Female","19.7%"
"2018-Q4","Male","63.0%"
"2018-Q4","Female","20.2%"
"2019-Q1","Male","63.3%"
"2019-Q1","Female","20.5%"
"2019-Q1","Total","42.3%"
"2019-Q2","Male","66.0%"
"2019-Q2","Female","23.2%"
"2019-Q2","Total","45.0%"
"2019-Q3","Male","67.0%"
"2019-Q3","Female","23.2%"
"2019-Q3","Total","45.5%"
"2019-Q4","Male","66.6%"
"2019-Q4","Female","26.0%"
"2019-Q4","Total","46.7%"
"2020-Q1","Male","65.8%"
"2020-Q1","Female","25.9%"
"2020-Q1","Total","46.2%"
"2020-Q2","Male","65.6%"
"2020-Q2","Female","31.4%"
"2020-Q2","Total","48.8%"
"2020-Q3","Male","66.0%"
"2020-Q3","Female","31.3%"
"2020-Q3","Total","49.0%"
"2020-Q4","Male","68.5%"
"2020-Q4","Female","33.2%"
"2020-Q4","Total","51.2%"
"2021-Q1","Male","64.8%"
"2021-Q1","Female","31.9%"
"2021-Q1","Total","48.3%"
"2021-Q2","Male","65.0%"
"2021-Q2","Female","32.1%"
"2021-Q2","Total","48.5%"
"2021-Q3","Male","65.1%"
"2021-Q3","Female","34.3%"
"2021-Q3","Total","49.6%"
"2021-Q4","Male","65.6%"
"2021-Q4","Female","34.7%"
"2021-Q4","Total","50.1%"
"2022-Q1","Male","65.1%"
"2022-Q1","Female","33.3%"
"2022-Q1","Total","49.1%"
"2022-Q2","Male","66.5%"
"2022-Q2","Female","35.1%"
"2022-Q2","Total","50.8%"
"2022-Q3","Male","66.3%"
"2022-Q3","Female","36.5%"
"2022-Q3","Total","51.4%"
"2022-Q4","Male","67.3%"
"2022-Q4","Female","35.5%"
"2022-Q4","Total","51.5%"
"2023-Q1","Male","67.1%"
"2023-Q1","Female","35.5%"
"2023-Q1","Total","51.4%"
"2023-Q2","Male","66.3%"
"2023-Q2","Female","34.8%"
"2023-Q2","Total","50.7%"
"2023-Q3","Male","65.7%"
"2023-Q3","Female","35.4%"
"2023-Q3","Total","50.8%"
"2023-Q4","Male","65.4%"
"2023-Q4","Female","35.0%"
"2023-Q4","Total","50.4%"
"2024-Q1","Male","66.4%"
"2024-Q1","Female","35.8%"
"2024-Q1","Total","51.4%"
"2024-Q2","Male","66.3%"
"2024-Q2","Female","35.4%"
"2024-Q2","Total","50.8%"
"2024-Q3","Male","66.9%"
"2024-Q3","Female","36.2%"
"2024-Q3","Total","51.5%"
"2024-Q4","Male","66.2%"
"2024-Q4","Female","36.0%"
"2024-Q4","Total","51.1%"
"2025-Q1","Male","66.4%"
"2025-Q1","Female","36.3%"
"2025-Q1","Total","51.3%"
"2025-Q2","Male","64.0%"
"2025-Q2","Female","34.5%"
"2025-Q2","Total","49.2%"
"2025-Q3","Male","64.3%"
"2025-Q3","Female","33.7%"
"2025-Q3","Total","49.0%"