"Quarter","Gender","Unemployment Rate"
"2016-Q2","Male","5.4"
"2016-Q2","Female","33.7"
"2016-Q2","Total","11.6"
"2016-Q3","Male","5.7"
"2016-Q3","Female","34.5"
"2016-Q3","Total","12.1"
"2016-Q4","Male","5.9"
"2016-Q4","Female","34.5"
"2016-Q4","Total","12.3"
"2017-Q1","Male","7.2"
"2017-Q1","Female","33"
"2017-Q1","Total","12.7"
"2017-Q2","Male","7.4"
"2017-Q2","Female","33.1"
"2017-Q2","Total","12.8"
"2017-Q3","Male","7.4"
"2017-Q3","Female","32.7"
"2017-Q3","Total","12.8"
"2017-Q4","Male","7.5"
"2017-Q4","Female","31"
"2017-Q4","Total","12.8"
"2018-Q1","Male","7.6"
"2018-Q1","Female","30.9"
"2018-Q1","Total","12.9"
"2018-Q2","Male","7.6"
"2018-Q2","Female","31.1"
"2018-Q2","Total","12.9"
"2018-Q3","Male","7.5"
"2018-Q3","Female","30.9"
"2018-Q3","Total","12.8"
"2018-Q4","Male","6.6"
"2018-Q4","Female","32.5"
"2018-Q4","Total","12.7"
"2019-Q1","Male","6.6"
"2019-Q1","Female","31.7"
"2019-Q1","Total","12.5"
"2019-Q2","Male","6"
"2019-Q2","Female","31.1"
"2019-Q2","Total","12.3"
"2019-Q3","Male","5.8"
"2019-Q3","Female","30.8"
"2019-Q3","Total","12"
"2019-Q4","Male","4.9"
"2019-Q4","Female","30.8"
"2019-Q4","Total","12"
"2020-Q1","Male","5.6"
"2020-Q1","Female","28.2"
"2020-Q1","Total","11.8"
"2020-Q2","Male","8.1"
"2020-Q2","Female","31.4"
"2020-Q2","Total","15.4"
"2020-Q3","Male","7.9"
"2020-Q3","Female","30.2"
"2020-Q3","Total","14.9"
"2020-Q4","Male","7.1"
"2020-Q4","Female","24.4"
"2020-Q4","Total","12.6"
"2021-Q1","Male","7.437090046118541"
"2021-Q1","Female","21.72038921951139"
"2021-Q1","Total","12.16652725388383"
"2021-Q2","Male","6.385265765690932"
"2021-Q2","Female","22.67109577023739"
"2021-Q2","Total","11.79714697419326"
"2021-Q3","Male","6.205497231795751"
"2021-Q3","Female","22.15595436852657"
"2021-Q3","Total","11.73480844482969"
"2021-Q4","Male","5.365803427100799"
"2021-Q4","Female","22.93577502900945"
"2021-Q4","Total","11.47703663686596"
"2022-Q1","Male","5.164822544913315"
"2022-Q1","Female","20.31631453815182"
"2022-Q1","Total","10.31850935558535"
"2022-Q2","Male","4.920341264692857"
"2022-Q2","Female","19.46925888214875"
"2022-Q2","Total","9.955664640972692"
"2022-Q3","Male","4.385567507963496"
"2022-Q3","Female","20.66165544040992"
"2022-Q3","Total","10.15748068588656"
"2022-Q4","Male","4.3130653175741"
"2022-Q4","Female","15.67537616778923"
"2022-Q4","Total","8.21136371923257"
"2023-Q1","Male","4.6711721422173"
"2023-Q1","Female","16.33443509017089"
"2023-Q1","Total","8.667264525599867"
"2023-Q2","Male","4.629089855187579"
"2023-Q2","Female","15.89190054011111"
"2023-Q2","Total","8.453726384680115"
"2023-Q3","Male","4.727891325414683"
"2023-Q3","Female","16.56695619610706"
"2023-Q3","Total","8.806285503682684"
"2023-Q4","Male","4.599755372464013"
"2023-Q4","Female","13.90674810286544"
"2023-Q4","Total","7.77577332851356"
"2024-Q1","Male","4.213429540211804"
"2024-Q1","Female","14.16524427098011"
"2024-Q1","Total","7.610484595903867"
"2024-Q2","Male","3.98734074230763"
"2024-Q2","Female","12.83935954464476"
"2024-Q2","Total","7.089038158606827"
"2024-Q3","Male","4.656514397887792"
"2024-Q3","Female","13.56264994652308"
"2024-Q3","Total","7.806353481111772"
"2024-Q4","Male","4.327787081534465"
"2024-Q4","Female","11.85409485310426"
"2024-Q4","Total","6.998490253964286"
"2025-Q1","Male","3.995933640869784"
"2025-Q1","Female","10.53527894651563"
"2025-Q1","Total","6.324399733266787"
"2025-Q2","Male","4.32486619761784"
"2025-Q2","Female","11.294552423253112"
"2025-Q2","Total","6.784682191345961"
"2025-Q3","Male","5.04536440733403"
"2025-Q3","Female","12.07221049760087"
"2025-Q3","Total","7.480826101272017"